course_code,module_code,module_name,content_code,content_name,framework_languages,content_url,content_do_id,course_name
FMPS_C001,FMPS_C001_1,التواصل المهني,FMPS_C001_V01,التواصل المهني,"arabic;english,french",https://drive.google.com/file/d/1YxYbGL0octT3sHg3AhgHw_W6u6j536I1/view?usp=drive_link,do_2143197178119454721222,التواصل المهني
FMPS_C001,FMPS_C001_1,التواصل المهني,FMPS_C001_QV01,الاختبار التواصل المهني,"arabic;english,french",https://docs.google.com/spreadsheets/d/1HuLjvQ0euFJJJyqkL1B7rDTF6DV7kQVLhEwIOOnIwFU/edit?usp=drive_link,,التواصل المهني
FMPS_C001,FMPS_C001_2,التواصل المهني الفعال,FMPS_C001_V02,التواصل المهني الفعال,"arabic;english,french",https://drive.google.com/file/d/1xNxLyUsCV4d3Sg9yisJBj6U35T_B-90N/view?usp=drive_link,do_2143197179518320641223,التواصل المهني
FMPS_C001,FMPS_C001_2,التواصل المهني الفعال,FMPS_C001_QV02,الاختبار التواصل المهني الفعال,"arabic;english,french",https://docs.google.com/spreadsheets/d/1NGBU9uQMiPXzE3-X5mBmS7kvkgZmFj_otl3pq-PF658/edit?usp=drive_link,,التواصل المهني
FMPS_C001,FMPS_C001_3,التعرف على مهارات التواصل المهني,FMPS_C001_V03,التعرف على مهارات التواصل المهني,"arabic;english,french",https://drive.google.com/file/d/1Vvem-xoB9SpYlAevSYogOEEN0gwzFk4Y/view?usp=drive_link,do_2143197181111992321224,التواصل المهني
FMPS_C001,FMPS_C001_3,التعرف على مهارات التواصل المهني,FMPS_C001_QV03,الاختبار التعرف على مهارات التواصل المهني,"arabic;english,french",https://docs.google.com/spreadsheets/d/1rih9D8kvjqY6IodrW7B4WAB7bXjn_QLSUzLyWW4p48E/edit?usp=drive_link,,التواصل المهني
FMPS_C001,FMPS_C001_4,تحديد اشكال التواصل المهني,FMPS_C001_V04,تحديد اشكال التواصل المهني,"arabic;english,french",https://drive.google.com/file/d/1Duipsygc2DvZOCC7UGKhFlV6lMK3RDoe/view?usp=drive_link,do_2143197182655692801225,التواصل المهني
FMPS_C001,FMPS_C001_4,تحديد اشكال التواصل المهني,FMPS_C001_QV04,الاختبار تحديد اشكال التواصل المهني,"arabic;english,french",https://docs.google.com/spreadsheets/d/19wklkSH7KivCbo-0Qw8rWXkkvbG4jHFAPMRbsfVvWqw/edit?usp=drive_link,,التواصل المهني
FMPS_C001,FMPS_C001_G1,,FMPS_C001_QG1,التواصل المهني الاختبار النهائي ,"arabic;english,french",https://docs.google.com/spreadsheets/d/1_WCiBOZ7D6dtTdFIjgCeyrTtaBYLOMRYzq_HkR76dCw/edit?usp=drive_link,,التواصل المهني
FMPS_C002,FMPS_C002_1,تقديم وتعريف,FMPS_C002_V01,تقديم وتعريف,"arabic;english,french",https://drive.google.com/file/d/1NKLpkz_8C31woukFwvfoAEynIvw1epdc/view?usp=drive_link,do_2143197184197754881226,التواصل الغير العنيف
FMPS_C002,FMPS_C002_1,تقديم وتعريف,FMPS_C002_QV01,الاختبار تقديم وتعريف,"arabic;english,french","https://docs.google.com/spreadsheets/d/1_v8VwwcGBU8Qf_eUl_dV7kz079YdtRGI-VlFSLmpARc/edit?usp=drive_link, ",,التواصل الغير العنيف
FMPS_C002,FMPS_C002_2,مبادئ التواصل الغير العنيف,FMPS_C002_V02,مبادئ التواصل الغير العنيف,"arabic;english,french",https://drive.google.com/file/d/11DG1dg7Uzx549hKnhWiX7BcoUeG_vxp1/view?usp=drive_link,do_2143197185478410241227,التواصل الغير العنيف
FMPS_C002,FMPS_C002_2,مبادئ التواصل الغير العنيف,FMPS_C002_QV02,الاختبار مبادئ التواصل الغير العنيف,"arabic;english,french",https://docs.google.com/spreadsheets/d/11lhkyUVs-cbb7ilBnnUyhT-17GgfjJ-PtOJtvLd2ZdM/edit?usp=drive_link,,التواصل الغير العنيف
FMPS_C002,FMPS_C002_3,علاقة الذكاء العاطفي بالتواصل الغير العنيف,FMPS_C002_V03,علاقة الذكاء العاطفي بالتواصل الغير العنيف,"arabic;english,french",https://drive.google.com/file/d/1172iIZWOfgWb7t90Y0K8zNFo_e7Mfngj/view?usp=drive_link,do_2143197186790604801228,التواصل الغير العنيف
FMPS_C002,FMPS_C002_3,علاقة الذكاء العاطفي بالتواصل الغير العنيف,FMPS_C002_QV03,الاختبار علاقة الذكاء العاطفي بالتواصل الغير العنيف,"arabic;english,french",https://docs.google.com/spreadsheets/d/13yeEnZInM5WSYTYJFX65SKMzOnxRugWDAzbNtpSTnD8/edit?usp=drive_link,,التواصل الغير العنيف
FMPS_C002,FMPS_C002_4,كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,FMPS_C002_V04,كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,"arabic;english,french",https://drive.google.com/file/d/1WuaaUNT3y4q-sLVgxFoUpzlkqR56h4IQ/view?usp=drive_link,do_2143197188127129601229,التواصل الغير العنيف
FMPS_C002,FMPS_C002_4,كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,FMPS_C002_QV04,الاختبار كيف ينمي المربي مهارات التواصل غير العنيف عند الاطفال,"arabic;english,french",https://docs.google.com/spreadsheets/d/1_v8VwwcGBU8Qf_eUl_dV7kz079YdtRGI-VlFSLmpARc/edit?usp=drive_link,,التواصل الغير العنيف
FMPS_C002,FMPS_C002_G2,,FMPS_C002_QG2,التواصل الغير العنيف الاختبار النهائي,"arabic;english,french",https://docs.google.com/spreadsheets/d/1BX5Or2H2U4yJOM8bsdL1DbIEu6uFdaPEz0yXVD9OPjM/edit?usp=drive,,التواصل الغير العنيف
FMPS_C003,FMPS_C003_1,تعريف التربية الوالدية,FMPS_C003_V01,تعريف التربية الوالدية,"arabic;english,french",https://drive.google.com/file/d/19zxNklX2pIjN74ppUWk-GUr4dN9ZzH_G/view?usp=drive_link,do_2143197189402378241230,التربية الوالدية
FMPS_C003,FMPS_C003_1,تعريف التربية الوالدية,FMPS_C003_QV01,الاختبار تعريف التربية الوالدية,"arabic;english,french",https://docs.google.com/spreadsheets/d/1n8cpOtbkI8VIw5Kmz2iPMGVqnVJ3en7QnX8N1fsWvnU/edit?usp=drive,,التربية الوالدية
FMPS_C003,FMPS_C003_2,أهمية وأهداف التربية الوالدية,FMPS_C003_V02,أهمية وأهداف التربية الوالدية,"arabic;english,french",https://drive.google.com/file/d/1YptohzrIdIDrrLfHip03Y00SyqdhXjm6/view?usp=drive_link,do_2143197190762414081231,التربية الوالدية
FMPS_C003,FMPS_C003_2,أهمية وأهداف التربية الوالدية,FMPS_C003_QV02,الاختبار أهمية وأهداف التربية الوالدية,"arabic;english,french",https://docs.google.com/spreadsheets/d/1-oJemlGOj_S5td_v9Jh9QK6nKNk4HWPklqt6mMUjVCM/edit?usp=drive_link,,التربية الوالدية
FMPS_C003,FMPS_C003_3,I أساليب نجاح التربية الوالدية,FMPS_C003_V03,I أساليب نجاح التربية الوالدية,"arabic;english,french",https://drive.google.com/file/d/1jL4QN0aU9SWtSjfMBFf8fc5MOgRHY9oK/view?usp=drive_link,do_2143197192328560641232,التربية الوالدية
FMPS_C003,FMPS_C003_3,I أساليب نجاح التربية الوالدية,FMPS_C003_QV03,الاختبار I أساليب نجاح التربية الوالدية,"arabic;english,french",https://docs.google.com/spreadsheets/d/1sGnWUwmCLeuwHntwzLf09Ot3MktbgVgmqP--8greVI8/edit?usp=drive_link,,التربية الوالدية
FMPS_C003,FMPS_C003_4,II أساليب نجاح التربية الوالدية,FMPS_C003_V04,II أساليب نجاح التربية الوالدية,"arabic;english,french",https://drive.google.com/file/d/1j26FuKFZ_D4sK7utMiBuznYMW-YIDzaS/view?usp=drive_link,do_2143197193785589761233,التربية الوالدية
FMPS_C003,FMPS_C003_4,II أساليب نجاح التربية الوالدية,FMPS_C003_QV04,الاختبار II أساليب نجاح التربية الوالدية,"arabic;english,french",https://docs.google.com/spreadsheets/d/15TmvNquX2La5qiaKUqYPpA83IYhvEykdC1yEmIoqJU4/edit?usp=drive_link,,التربية الوالدية
FMPS_C003,FMPS_C003_5,مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V05,مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,"arabic;english,french",https://drive.google.com/file/d/16-v8dAKBNWl0a18nYnB6R3U-Qb9ntxN3/view?usp=drive_link,do_2143197195222466561234,التربية الوالدية
FMPS_C003,FMPS_C003_5,مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_QV05,الاختبار مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,"arabic;english,french",https://docs.google.com/spreadsheets/d/1ibJfUd5ejdjfVV83eBxla5mx_3OIAPnCUdxHn_T_xt0/edit?usp=drive_link,,التربية الوالدية
FMPS_C003,FMPS_C003_6,فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,FMPS_C003_V06,فوائد مشاركة الآباء وأولياء الأمور في العملية التعليمية التعلمية,"arabic;english,french",https://drive.google.com/file/d/1Wr6zokc_wRx4gyXYOgKJk2oQkJH6UEbt/view?usp=drive_link,do_2143197196777390081235,التربية الوالدية
